dataset,method,5,10,15,20,25,30,35,40,50,75
set12,BM3D_TAU,1451.934,1431.683,1370.873,1429.342,1337.008,1317.384,1377.591,1372.414,1369.52,1359.823
set12,Gaussian_SciPy,2.779,2.807,2.975,2.938,2.914,2.767,2.627,2.818,2.717,2.883
set12,Median_SciPy,14.479,15.111,15.588,15.242,16.039,15.55,15.3,15.345,15.358,15.694
set12,NLM_IPOL_Like,2377.669,2558.603,2637.745,4061.285,4194.418,4217.438,17167.61,17337.658,27561.632,30277.624
set12,NLM_Skimage_Fast,289.286,316.801,334.991,332.49,347.785,342.185,337.323,344.08,327.668,342.99
set12,Noisy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
