dataset,method_ours,sigma,psnr_mean,psnr_std,ssim_mean,ssim_std,runtime_mean_ms,runtime_median_ms,n_images,literature_method,method_ref,psnr_ref,ssim_ref,source,notes,psnr_gap_ours_minus_ref,ssim_gap_ours_minus_ref
bsd68,BM3D_TAU,15,31.0396,2.3036,0.87923,0.047605,1403.114,1373.274,68,BM3D,BM3D,31.07,,DnCNN Table II,Average PSNR on BSD68,-0.0304,
bsd68,BM3D_TAU,15,31.0396,2.3036,0.87923,0.047605,1403.114,1373.274,68,BM3D,BM3D,31.08,0.8722,DnCNN Table V,Average PSNR/SSIM on BSD68,-0.0404,0.00703
bsd68,BM3D_TAU,25,28.3695,2.4229,0.804177,0.063441,1417.415,1402.704,68,BM3D,BM3D,28.57,,DnCNN Table II,Average PSNR on BSD68,-0.2005,
bsd68,BM3D_TAU,25,28.3695,2.4229,0.804177,0.063441,1417.415,1402.704,68,BM3D,BM3D,28.57,0.8017,DnCNN Table V,Average PSNR/SSIM on BSD68,-0.2005,0.002477
bsd68,BM3D_TAU,50,24.8911,2.4451,0.671475,0.089012,1435.495,1412.68,68,BM3D,BM3D,25.62,,DnCNN Table II,Average PSNR on BSD68,-0.7289,
bsd68,BM3D_TAU,50,24.8911,2.4451,0.671475,0.089012,1435.495,1412.68,68,BM3D,BM3D,25.62,0.6869,DnCNN Table V,Average PSNR/SSIM on BSD68,-0.7289,-0.015425
